type,descname,anonymous,logged_in,same_org,admin
create,activity_create,-,-,-,+
get,activity_detail_list,-,-,-,+
get,am_following_dataset,-,-,-,+
get,am_following_group,-,-,-,+
get,am_following_user,-,-,-,+
update,bulk_update_delete,-,-,-,+
update,bulk_update_private,-,-,-,+
update,bulk_update_public,-,-,-,+
get,config_option_list,-,-,-,+
get,config_option_show,-,-,-,+
update,config_option_update,-,-,-,+
get,current_package_list_with_resources,-,-,-,+
get,dashboard_activity_list,-,-,-,+
get,dashboard_activity_list_html,-,-,-,+
update,dashboard_mark_activities_old,-,-,-,+
get,dashboard_new_activities_count,-,-,-,+
get,dataset_followee_count,-,-,-,+
get,dataset_followee_list,-,-,-,+
get,dataset_follower_count,-,-,-,+
get,dataset_follower_list,-,-,-,+
delete,dataset_purge,-,-,-,+
create,follow_dataset,-,-,-,+
create,follow_group,-,-,-,+
create,follow_user,-,-,-,+
get,followee_count,-,-,-,+
get,followee_list,-,-,-,+
get,format_autocomplete,-,-,-,+
get,get_site_user,-,-,-,+
get,group_activity_list,-,-,-,+
get,group_activity_list_html,-,-,-,+
create,group_create,-,-,-,+
delete,group_delete,-,-,-,+
get,group_followee_count,-,-,-,+
get,group_followee_list,-,-,-,+
get,group_follower_count,-,-,-,+
get,group_follower_list,-,-,-,+
get,group_list,-,-,-,+
get,group_list_authz,-,-,-,+
create,group_member_create,-,-,-,+
delete,group_member_delete,-,-,-,+
get,group_package_show,-,-,-,+
patch,group_patch,-,-,-,+
delete,group_purge,-,-,-,+
get,group_revision_list,-,-,-,+
get,group_show,-,-,-,+
update,group_update,-,-,-,+
get,help_show,-,-,-,+
delete,job_cancel,-,-,-,+
delete,job_clear,-,-,-,+
get,job_list,-,-,-,+
get,job_show,-,-,-,+
get,license_list,-,-,-,+
create,member_create,-,-,-,+
delete,member_delete,-,-,-,+
get,member_list,-,-,-,+
get,member_roles_list,-,-,-,+
get,organization_activity_list,-,-,-,+
get,organization_activity_list_html,-,-,-,+
get,organization_autocomplete,-,-,-,+
create,organization_create,-,-,-,+
delete,organization_delete,-,-,-,+
get,organization_followee_list,-,-,-,+
get,organization_follower_count,-,-,-,+
get,organization_follower_list,-,-,-,+
get,organization_list,-,-,-,+
get,organization_list_for_user,-,-,-,+
create,organization_member_create,-,-,-,+
delete,organization_member_delete,-,-,-,+
patch,organization_patch,-,-,-,+
delete,organization_purge,-,-,-,+
get,organization_revision_list,-,-,-,+
get,organization_show,-,-,-,+
update,organization_update,-,-,-,+
get,package_activity_list,-,-,-,+
get,package_activity_list_html,-,-,-,+
get,package_autocomplete,-,-,-,+
create,package_create,-,-,-,+
create,package_create_default_resource_views,-,-,-,+
delete,package_delete,-,-,-,+
get,package_list,-,+,+,+
update,package_owner_org_update,-,-,-,+
patch,package_patch,-,-,-,+
create,package_relationship_create,-,-,-,+
delete,package_relationship_delete,-,-,-,+
update,package_relationship_update,-,-,-,+
get,package_relationships_list,-,-,-,+
update,package_resource_reorder,-,-,-,+
get,package_revision_list,-,-,-,+
get,package_search,+,+,+,+
get,package_show,-,+,+,+
update,package_update,-,-,-,+
create,rating_create,-,-,-,+
get,recently_changed_packages_activity_list,-,-,-,+
get,recently_changed_packages_activity_list_html,-,-,-,+
create,resource_create,-,-,-,+
create,resource_create_default_resource_views,-,-,-,+
delete,resource_delete,-,-,-,+
patch,resource_patch,-,-,-,+
get,resource_search,-,-,-,+
get,resource_show,-,+,+,+
get,resource_status_show,-,-,-,+
update,resource_update,-,-,-,+
delete,resource_view_clear,-,-,-,+
create,resource_view_create,-,-,-,+
delete,resource_view_delete,-,-,-,+
get,resource_view_list,-,-,-,+
update,resource_view_reorder,-,-,-,+
get,resource_view_show,-,-,-,+
update,resource_view_update,-,-,-,+
get,revision_list,-,-,-,+
get,revision_show,-,-,-,+
update,send_email_notifications,-,-,-,+
get,site_read,+,+,+,+
get,status_show,-,-,-,+
get,tag_autocomplete,-,-,-,+
create,tag_create,-,-,-,+
delete,tag_delete,-,-,-,+
get,tag_list,-,-,-,+
get,tag_search,-,-,-,+
get,tag_show,-,-,-,+
delete,task_status_delete,-,-,-,+
get,task_status_show,-,-,-,+
update,task_status_update,-,-,-,+
update,task_status_update_many,-,-,-,+
get,term_translation_show,-,-,-,+
update,term_translation_update,-,-,-,+
update,term_translation_update_many,-,-,-,+
delete,unfollow_dataset,-,-,-,+
delete,unfollow_group,-,-,-,+
delete,unfollow_user,-,-,-,+
get,user_activity_list,-,-,-,+
get,user_activity_list_html,-,-,-,+
get,user_autocomplete,-,-,-,+
create,user_create,-,-,-,+
delete,user_delete,-,-,-,+
get,user_followee_count,-,-,-,+
get,user_followee_list,-,-,-,+
get,user_follower_count,-,-,-,+
get,user_follower_list,-,-,-,+
update,user_generate_apikey,-,-,-,+
create,user_invite,-,-,-,+
get,user_list,-,-,-,+
get,user_show,-,-,-,+
update,user_update,-,-,-,+
create,vocabulary_create,-,-,-,+
delete,vocabulary_delete,-,-,-,+
get,vocabulary_list,-,-,-,+
get,vocabulary_show,-,-,-,+
update,vocabulary_update,-,-,-,+
